G,T,K,OD1,OD2,OD3
52.0,9.0,1.0,0.4123,0.4051,0.3989
52.0,9.0,3.0,0.4174,0.4081,0.4187
52.0,9.0,5.0,0.4196,0.4148,0.41
54.0,9.0,1.0,0.4111,0.4068,0.4206
54.0,9.0,3.0,0.4126,0.4118,0.4199
54.0,9.0,5.0,0.4128,0.4099,0.4147
56.0,9.0,1.0,0.4073,0.4165,0.4069
56.0,9.0,3.0,0.4167,0.4133,0.4131
56.0,9.0,5.0,0.4065,0.4154,0.4079
58.0,9.0,1.0,0.4042,0.4132,0.4149
58.0,9.0,3.0,0.3978,0.4059,0.4141
58.0,9.0,5.0,0.4114,0.4054,0.4002
60.0,9.0,1.0,0.392,0.3901,0.3938
60.0,9.0,3.0,0.3844,0.4043,0.4002
60.0,9.0,5.0,0.3982,0.4015,0.4032
45.0,8.0,1.0,0.3621,0.3684,0.3648
45.0,8.0,3.0,0.3682,0.3643,0.3692
45.0,8.0,5.0,0.3736,0.3622,0.3737
48.0,8.0,1.0,0.3966,0.3905,0.3866
48.0,8.0,3.0,0.3898,0.391,0.3862
48.0,8.0,5.0,0.3916,0.3851,0.3914
50.0,8.0,1.0,0.3932,0.3998,0.3991
50.0,8.0,3.0,0.4101,0.4012,0.3995
50.0,8.0,5.0,0.3981,0.4008,0.3981
52.0,8.0,1.0,0.4058,0.4034,0.4177
52.0,8.0,3.0,0.4082,0.4005,0.4054
52.0,8.0,5.0,0.4164,0.4108,0.41
54.0,8.0,1.0,0.4058,0.4063,0.408
54.0,8.0,3.0,0.4105,0.4167,0.4081
54.0,8.0,5.0,0.4067,0.415,0.4144
56.0,8.0,1.0,0.4167,0.4024,0.4055
56.0,8.0,3.0,0.41,0.4104,0.4064
56.0,8.0,5.0,0.4106,0.4112,0.4102
58.0,8.0,1.0,0.4052,0.3971,0.3935
58.0,8.0,3.0,0.4069,0.4086,0.3916
58.0,8.0,5.0,0.3979,0.4061,0.3992
60.0,8.0,1.0,0.3968,0.3953,0.3899
60.0,8.0,3.0,0.3908,0.3888,0.3889
60.0,8.0,5.0,0.3912,0.3918,0.3876
48.0,7.0,1.0,0.3887,0.3806,0.3814
48.0,7.0,3.0,0.3728,0.3891,0.3812
48.0,7.0,5.0,0.3891,0.3765,0.3742
50.0,7.0,1.0,0.3849,0.3988,0.3972
50.0,7.0,3.0,0.3982,0.3963,0.3933
50.0,7.0,5.0,0.3851,0.3904,0.399
52.0,7.0,1.0,0.4081,0.3943,0.4025
52.0,7.0,3.0,0.4056,0.3976,0.4055
52.0,7.0,5.0,0.4011,0.4002,0.4038
54.0,7.0,1.0,0.4092,0.4056,0.4076
54.0,7.0,3.0,0.3968,0.4087,0.4021
54.0,7.0,5.0,0.4009,0.4003,0.4037
56.0,7.0,1.0,0.4047,0.3886,0.3904
56.0,7.0,3.0,0.4013,0.3978,0.4014
56.0,7.0,5.0,0.4007,0.4012,0.4015
58.0,7.0,1.0,0.3888,0.3891,0.3905
58.0,7.0,3.0,0.397,0.3919,0.3954
58.0,7.0,5.0,0.4011,0.3896,0.3954
45.0,6.0,1.0,0.362,0.3532,0.3595
45.0,6.0,3.0,0.3442,0.359,0.354
45.0,6.0,5.0,0.3688,0.3476,0.356
48.0,6.0,1.0,0.3701,0.3711,0.3732
48.0,6.0,3.0,0.3718,0.3803,0.3685
48.0,6.0,5.0,0.3746,0.3684,0.378
50.0,6.0,1.0,0.3858,0.3808,0.3912
50.0,6.0,3.0,0.3836,0.3858,0.3709
50.0,6.0,5.0,0.3792,0.3875,0.3844
52.0,6.0,1.0,0.3927,0.3821,0.3923
52.0,6.0,3.0,0.3872,0.3941,0.3942
52.0,6.0,5.0,0.3896,0.3832,0.3938
54.0,6.0,1.0,0.3964,0.3951,0.388
54.0,6.0,3.0,0.4011,0.387,0.3874
54.0,6.0,5.0,0.3962,0.3939,0.3857
56.0,6.0,1.0,0.3885,0.3966,0.3923
56.0,6.0,3.0,0.3929,0.3778,0.3961
56.0,6.0,5.0,0.3902,0.3914,0.3964
58.0,6.0,1.0,0.3883,0.3917,0.3864
58.0,6.0,3.0,0.3833,0.387,0.3876
58.0,6.0,5.0,0.3847,0.3902,0.3705
60.0,6.0,1.0,0.3727,0.3703,0.3887
60.0,6.0,3.0,0.3744,0.3739,0.3815
60.0,6.0,5.0,0.3806,0.3837,0.3732
